date,code,open,high,low,close,change,volume
2026/05/14,2308,2210,2250,2155,2155,-10,7332576
2026/05/14,2330,2250,2270,2230,2270,50,39564699
2026/05/14,2368,1400,1480,1375,1430,80,7002469
2026/05/14,2383,5095,5215,4920,4920,-10,2342222
2026/05/14,6770,61.8,63.4,60.8,62.2,1.7,196451270
2026/05/14,TX,41948,42238,41497,41602,154,73073
2026/05/15,2308,2185,2195,2075,2075,-80,12351492
2026/05/15,2330,2310,2325,2250,2265,-5,34360513
2026/05/15,2368,1450,1455,1290,1290,-140,7370631
2026/05/15,2383,4960,5020,4615,4615,-305,2616036
2026/05/15,6770,63,67,62.3,62.8,0.6,356822147
2026/05/15,TX,42282,42454,40976,41012,-624,100977
2026/05/18,2308,1985,2040,1985,2020,-55,10082191
2026/05/18,2330,2225,2260,2215,2240,-25,32966937
2026/05/18,2368,1220,1270,1215,1250,-40,7982652
2026/05/18,2383,4415,4575,4300,4545,-70,3423889
2026/05/18,6770,62,63.1,59.2,62,-0.8,127532182
2026/05/18,TX,40200,40990,40169,40807,-191,99781
2026/05/19,2308,2020,2025,1910,1915,-105,16288903
2026/05/19,2330,2220,2230,2205,2205,-35,45585931
2026/05/19,2368,1260,1325,1245,1285,35,6451905
2026/05/19,2383,4515,4675,4430,4535,-10,1920778
2026/05/19,6770,61.5,62.3,58.1,58.5,-3.5,143820864
2026/05/19,TX,40890,40931,40188,40248,-549,86112
2026/05/20,2308,1880,1960,1880,1915,0,10890054
2026/05/20,2330,2205,2210,2185,2185,-20,38332945
2026/05/20,2368,1305,1305,1220,1235,-50,5873749
2026/05/20,2383,4530,4530,4360,4395,-140,1950325
2026/05/20,6770,58.7,59.4,56.6,57.8,-0.7,84341651
2026/05/20,TX,40051,40405,39881,40078,-162,35358
2026/05/21,2308,2015,2060,1990,2030,115,11663874
2026/05/21,2330,2240,2255,2230,2230,45,24929331
2026/05/21,2368,1280,1305,1260,1285,50,5210531
2026/05/21,2383,4610,4785,4555,4690,295,2512472
2026/05/21,6770,59.3,61.2,58.9,59.1,1.3,96108084
2026/05/21,TX,40967,41666,40957,41473,1349,54092
2026/05/22,2308,2125,2125,2050,2095,65,8534359
2026/05/22,2330,2245,2260,2225,2255,25,26823133
2026/05/22,2368,1325,1365,1305,1330,45,5646399
2026/05/22,2383,4925,5085,4800,5005,315,3037648
2026/05/22,6770,60.3,64.8,60.2,63.8,4.7,218295235
2026/05/22,TX,42196,42502,41790,42442,939,57547
2026/05/25,2308,2205,2300,2185,2290,195,12049781
2026/05/25,2330,2275,2310,2275,2310,55,28250944
2026/05/25,2368,1400,1455,1360,1425,95,6665391
2026/05/25,2383,5355,5505,5205,5505,500,1801298
2026/05/25,6770,65,68.2,62.3,67.6,3.8,321963402
2026/05/25,TX,43195,44050,43004,43877,1422,58040
2026/05/26,2308,2350,2410,2290,2350,60,12198582
2026/05/26,2330,2320,2325,2270,2270,-40,32781470
2026/05/26,2368,1465,1495,1425,1445,20,5681233
2026/05/26,2383,5635,5635,5160,5290,-215,2917258
2026/05/26,6770,69.9,73.6,68,70.8,3.2,354361201
2026/05/26,TX,44274,44280,43619,43893,23,57331
2026/05/27,2308,2490,2585,2490,2520,170,13897689
2026/05/27,2330,2310,2330,2290,2300,30,40272350
2026/05/27,2368,1450,1470,1370,1375,-70,5687897
2026/05/27,2383,5500,5545,5300,5305,15,2342327
2026/05/27,6770,75.9,77,72.6,74.8,4,414941224
2026/05/27,TX,44490,45299,44336,44798,934,83854
2026/05/28,2308,2485,2520,2370,2390,-130,11721062
2026/05/28,2330,2350,2360,2270,2295,-5,42313277
2026/05/28,2368,1395,1420,1290,1305,-70,5166050
2026/05/28,2383,5300,5515,5025,5055,-250,2289989
2026/05/28,6770,75.6,82.2,73.5,80.7,5.9,742969935
2026/05/28,TX,45174,45348,43458,43842,-952,98081
2026/05/29,2308,2470,2525,2445,2445,55,17179076
2026/05/29,2330,2340,2375,2330,2355,60,104783831
2026/05/29,2368,1335,1360,1275,1320,15,6593515
2026/05/29,2383,4925,5250,4925,5120,65,3687942
2026/05/29,6770,85.4,88.7,78.8,88.7,8,829646406
2026/05/29,TX,44655,45471,44655,45285,1446,66493
2026/06/01,2308,2450,2520,2410,2420,-25,9840869
2026/06/01,2330,2355,2415,2350,2355,0,60942792
2026/06/01,2368,1345,1350,1300,1325,5,4844214
2026/06/01,2383,5130,5280,4985,5070,-50,2273627
2026/06/01,6770,93.2,94.5,87,87,-1.7,770941542
2026/06/01,TX,45483,46465,45405,46035,720,75635
2026/06/02,2308,2430,2455,2330,2360,-60,12331189
2026/06/02,2330,2390,2400,2360,2380,25,41532527
2026/06/02,2368,1330,1330,1235,1275,-50,7260097
2026/06/02,2383,5060,5075,4820,4860,-210,2172811
2026/06/02,6770,87,88.6,83.7,85.9,-1.1,106203381
2026/06/02,TX,46145,46228,45333,46087,46,73548
2026/06/03,2308,2420,2460,2410,2455,95,10882344
2026/06/03,2330,2425,2440,2410,2425,45,29219904
2026/06/03,2368,1360,1400,1350,1385,110,7490127
2026/06/03,2383,4910,5010,4820,4830,-30,2199236
2026/06/03,6770,88,88,84.1,84.6,-1.3,64659229
2026/06/03,TX,46718,46994,46550,46868,765,56092
2026/06/04,2308,2440,2465,2405,2425,-30,9416420
2026/06/04,2330,2385,2415,2385,2385,-40,32542948
2026/06/04,2368,1350,1370,1315,1350,-35,4195749
2026/06/04,2383,4880,4885,4740,4830,0,1722407
